date,action,price,shares_delta,cash_after,shares_after,note
2025-08-08,买入,1.4147,7068.636460026861,0,7068.636460026861,双均线趋势：金叉买入
2025-08-22,卖出,1.4063,-7068.636460026861,9940.623453735774,0,双均线趋势：死叉卖出
2025-08-28,买入,1.4136,7032.133173270921,0,7032.133173270921,双均线趋势：金叉买入
2025-08-29,卖出,1.3959,-7032.133173270921,9816.15469656888,0,双均线趋势：死叉卖出
2025-09-09,买入,1.4207,6909.378965699218,0,6909.378965699218,双均线趋势：金叉买入
2025-11-11,卖出,1.5148,-6909.378965699218,10466.327257241175,0,双均线趋势：死叉卖出
2025-11-28,买入,1.5069,6945.601736837996,0,6945.601736837996,双均线趋势：金叉买入
2025-12-17,卖出,1.4556,-6945.601736837996,10110.017888141387,0,双均线趋势：死叉卖出
2025-12-25,买入,1.5123,6685.193340039269,0,6685.193340039269,双均线趋势：金叉买入
2026-01-05,卖出,1.4938,-6685.193340039269,9986.34181135066,0,双均线趋势：死叉卖出
2026-01-09,买入,1.513,6600.358103999114,0,6600.358103999114,双均线趋势：金叉买入
2026-01-19,卖出,1.4973,-6600.358103999114,9882.716189117875,0,双均线趋势：死叉卖出
2026-01-27,买入,1.5175,6512.498312433525,0,6512.498312433525,双均线趋势：金叉买入
2026-02-04,卖出,1.4505,-6512.498312433525,9446.378802184827,0,双均线趋势：死叉卖出
2026-04-08,买入,1.4332,6591.109965241994,0,6591.109965241994,双均线趋势：金叉买入
